ptlotsecpn
DP/2//765506
DP/1//1295321
DP/25//1226831
DP/2//1296112
DP/1//1296112
DP/4//38066
DP/1//598850
DP/431//755687
DP/1//304105
DP/2//127218
DP/1//127218
DP/33//1104872
DP/3//18327
DP/4//101765
DP/1//18327
DP/A//389507
DP/61//1221618
DP/20/1/975080
DP/19/1/975080
DP/1//81655
DP/2//16506
DP/8//923749
DP/19/12/2613
DP/46//1285744
DP/101//557964
DP/11/1/5237
DP/1//797022
DP/12//1292523
DP/2//770979
DP/3//38066
DP/11//745439
DP/4043//1240452
DP/4057//1240452
DP/7//1058874
DP/6/4/5237
DP/5//38066
DP/1//779993
DP/4//287002
DP/3//287002
DP/2//287002
DP/2//1291433
DP/5//443894
DP/3//1280781
DP/120//851859
DP/9//731353
DP/4047//1240452
DP/81//619884
DP/102//1074149
DP/109//1291070
DP/40/1/975080
DP/7//17405
DP/4//1217519
DP/12/11/2650
DP/9//1078029
DP/2//850812
DP/6//1285610
DP/4027//1240452
DP/8/15/2974
DP/16//1286504
DP/9//1286504
DP/7//1286504
DP/108//1291070
DP/107//1291070
DP/12//12970
DP/15/12/2613
DP/3//101765
DP/1//450324
DP/8//575988
DP/39/1/975080
DP/38/1/975080
DP/37/1/975080
DP/36/1/975080
DP/9//17359
DP/4//16506
DP/1//772636
DP/1//105661
DP/41//1296247
DP/11//588460
DP/10//586671
DP/11//572452
DP/4074//1240452
DP/5//9732
DP/27//12399
DP/11/10/758081
DP/B//315710
DP/14/1/5237
DP/1//1289363
DP/1//830246
DP/2//830246
DP/1//152888
DP/2//1253090
DP/1//1253090
DP/33//745472
DP/2//610940
DP/207//22989
DP/4//4566
